Heating DB 99.6% - EPW,Heating DB 99% - EPW,Cooling DB 0.4% - EPW,Cooling DB 1% - EPW
-6.3964,-4.8,22.096399999999996,20.9
-3.4,-2.2,22.99279999999999,21.140999999999988
-9.6,-7.9,25.0,23.340999999999987
-8.8964,-7.4,25.696399999999993,24.440999999999985
-8.196399999999999,-6.741,25.9,23.6
-10.1,-8.3,25.396399999999993,24.0
-12.5,-10.0,22.6,21.2
-10.3964,-8.4,25.6,23.040999999999986
-3.5,-2.3,21.996399999999994,19.3
-3.5,-2.1,18.8,17.9
-3.5,-2.1,19.2,18.3
-5.2,-3.9,20.096399999999996,19.1
-6.7,-4.640999999999999,21.5,20.0
-2.9,-2.0409999999999995,21.5,20.1
-8.4,-6.3,23.5,21.440999999999985
-8.7,-7.3,23.49279999999999,21.0
-8.5964,-6.840999999999999,21.7,20.6
-17.1,-15.841000000000001,20.9,19.3
-17.1,-15.841000000000001,20.9,19.3
-22.296400000000002,-19.5,23.096399999999996,20.740999999999985
-14.5964,-13.2,16.6,15.5
-14.196399999999999,-12.4,18.396399999999993,16.2
-12.4964,-11.241,17.5,15.9
-22.5,-18.9,18.696399999999993,17.740999999999985
-22.4,-20.4,22.396399999999993,20.540999999999986
-23.2928,-20.0,18.4,17.3
-4.1,-2.8,22.796399999999995,21.5
-4.596399999999999,-3.1,20.696399999999993,19.7
-7.1,-4.1,21.096399999999996,19.7
-23.0,-21.0,23.2,20.540999999999986
-24.3,-22.2,22.1,20.5
-23.4,-22.0,22.096399999999996,19.9
-18.1964,-16.8,22.5,21.2
-19.2928,-16.9,23.9,22.9
-19.096400000000003,-16.341,23.7,22.440999999999985
-7.3964,-4.9,20.996399999999994,20.0
-4.6,-3.8409999999999993,21.6,19.9
-7.3964,-4.9,20.7,19.7
-16.0,-14.4,18.7,17.6
-17.796400000000002,-15.9,21.6,20.240999999999985
-17.6964,-15.3,19.0,17.3
-10.8,-8.4,23.7,22.0
-10.3,-7.6,24.7,22.9
-10.696399999999999,-8.0,22.8,21.8
-11.6,-10.1,23.3,21.7
